Time,PositionX,PositionY,PositionZ,Vx,Ax,Y,YDot,Psi,PsiDot,EngineRpm
2.499999,2.1,0,-6.775947,3.102479,1.791706,0,0,0,0,1231.064
2.519999,2.1,0,-6.713179,3.138432,1.797662,0,0,0,0,1244.15
2.539999,2.1,0,-6.649689,3.174503,1.803567,0,0,0,0,1257.28
2.559999,2.1,0,-6.585475,3.210692,1.809419,0,0,0,0,1270.455
2.579999,2.1,0,-6.520535,3.246996,1.815219,0,0,0,0,1283.672
2.599999,2.1,0,-6.454867,3.283416,1.820968,0,0,0,0,1296.933
2.619999,2.1,0,-6.388468,3.319949,1.826666,0,0,0,0,1310.237
2.639999,2.1,0,-6.321336,3.356595,1.832313,0,0,0,0,1323.583
2.659999,2.1,0,-6.253469,3.393353,1.837911,0,0,0,0,1336.971
2.679999,2.1,0,-6.184864,3.430223,1.843459,0,0,0,0,1350.401
2.699999,2.1,0,-6.11552,3.467202,1.848957,0,0,0,0,1363.872
2.719999,2.1,0,-6.045434,3.50429,1.854407,0,0,0,0,1377.384
2.739999,2.1,0,-5.974604,3.541486,1.859808,0,0,0,0,1390.937
2.759999,2.1,0,-5.903028,3.578789,1.865161,0,0,0,0,1404.53
2.779999,2.1,0,-5.830705,3.616199,1.870467,0,0,0,0,1418.162
2.799999,2.1,0,-5.75763,3.653713,1.875725,0,0,0,0,1431.834
2.819999,2.1,0,-5.683804,3.691332,1.880937,0,0,0,0,1445.545
2.839999,2.1,0,-5.609222,3.729054,1.886101,0,0,0,0,1459.295
2.859999,2.1,0,-5.533885,3.766878,1.89122,0,0,0,0,1473.084
2.879999,2.1,0,-5.457789,3.804804,1.896293,0,0,0,0,1486.91
2.899999,2.1,0,-5.380932,3.84283,1.90132,0,0,0,0,1500.774
2.919999,2.1,0,-5.303313,3.880956,1.906302,0,0,0,0,1514.676
2.939999,2.1,0,-5.22493,3.919181,1.91124,0,0,0,0,1528.615
2.959999,2.1,0,-5.14578,3.957504,1.916133,0,0,0,0,1542.59
2.979999,2.1,0,-5.065861,3.995923,1.920982,0,0,0,0,1556.602
2.999999,2.1,0,-4.985172,4.034439,1.925788,0,0,0,0,1570.65
3.019999,2.1,0,-4.903711,4.07305,1.93055,0,0,0,0,1584.734
3.039999,2.1,0,-4.821476,4.111755,1.935269,0,0,0,0,1598.853
3.059999,2.1,0,-4.738465,4.150554,1.939946,0,0,0,0,1613.007
3.079999,2.1,0,-4.654676,4.189446,1.944581,0,0,0,0,1627.196
3.099999,2.1,0,-4.570108,4.228429,1.949173,0,0,0,0,1641.42
3.119999,2.1,0,-4.484758,4.267504,1.953724,0,0,0,0,1655.678
3.139999,2.1,0,-4.398624,4.306668,1.958234,0,0,0,0,1669.969
3.159999,2.1,0,-4.311706,4.345922,1.962702,0,0,0,0,1684.294
3.179999,2.1,0,-4.224001,4.385265,1.96713,0,0,0,0,1698.653
3.199999,2.1,0,-4.135507,4.424695,1.971518,0,0,0,0,1713.044
3.219999,2.1,0,-4.046223,4.464212,1.975865,0,0,0,0,1727.468
3.239999,2.1,0,-3.956146,4.503816,1.980173,0,0,0,0,1741.925
3.259999,2.1,0,-3.865276,4.543504,1.984441,0,0,0,0,1756.413
3.279999,2.1,0,-3.773611,4.583278,1.988671,0,0,0,0,1770.934
3.299999,2.1,0,-3.681148,4.623135,1.992861,0,0,0,0,1785.485
3.319999,2.1,0,-3.587887,4.663075,1.997013,0,0,0,0,1800.068
3.339999,2.1,0,-3.493825,4.703098,2.001127,0,0,0,0,1814.682
3.359999,2.1,0,-3.398961,4.743202,2.005202,0,0,0,0,1829.327
3.379999,2.1,0,-3.303293,4.783387,2.00924,0,0,0,0,1844.002
3.399999,2.1,0,-3.20682,4.823651,2.013241,0,0,0,0,1858.707
3.419999,2.1,0,-3.10954,4.863996,2.017205,0,0,0,0,1873.441
3.439999,2.1,0,-3.011452,4.904418,2.021132,0,0,0,0,1888.205
3.459999,2.1,0,-2.912554,4.944919,2.025022,0,0,0,0,1902.999
3.479999,2.1,0,-2.812844,4.985496,2.028876,0,0,0,0,1917.821
3.499999,2.1,0,-2.712321,5.02615,2.032694,0,0,0,0,1932.672
3.519999,2.1,0,-2.610983,5.066879,2.036476,0,0,0,0,1947.552
3.539999,2.1,0,-2.50883,5.107684,2.040223,0,0,0,0,1962.46
3.559999,2.1,0,-2.405859,5.148562,2.043935,0,0,0,0,1977.395
3.579999,2.1,0,-2.302068,5.189515,2.047611,0,0,0,0,1992.358
3.599999,2.1,0,-2.197458,5.23054,2.051253,0,0,0,0,2007.349
3.619999,2.1,0,-2.092025,5.271637,2.054861,0,0,0,0,2022.367
3.639999,2.1,0,-1.985769,5.312806,2.058434,0,0,0,0,2037.411
3.659999,2.1,0,-1.878688,5.354045,2.061974,0,0,0,0,2052.483
3.679999,2.1,0,-1.770781,5.395354,2.06548,0,0,0,0,2067.58
3.699999,2.1,0,-1.662046,5.436733,2.068952,0,0,0,0,2082.704
3.719999,2.1,0,-1.552483,5.478181,2.072391,0,0,0,0,2097.853
3.739999,2.1,0,-1.442089,5.519697,2.075798,0,0,0,0,2113.029
3.759999,2.1,0,-1.330863,5.56128,2.079172,0,0,0,0,2128.229
3.779999,2.1,0,-1.218805,5.602931,2.082513,0,0,0,0,2143.455
3.799999,2.1,0,-1.105912,5.644647,2.085821,0,0,0,0,2158.705
3.819999,2.1,0,-0.9921832,5.686429,2.089098,0,0,0,0,2173.98
3.839999,2.1,0,-0.8776177,5.728276,2.092343,0,0,0,0,2189.28
3.859999,2.1,0,-0.762214,5.770187,2.095557,0,0,0,0,2204.604
3.879999,2.1,0,-0.6459708,5.812161,2.098739,0,0,0,0,2219.952
3.899999,2.1,0,-0.5288869,5.854199,2.10189,0,0,0,0,2235.323
3.919999,2.1,0,-0.4109609,5.896299,2.10501,0,0,0,0,2250.718
3.939999,2.1,0,-0.2921917,5.938461,2.108099,0,0,0,0,2266.136
3.959999,2.1,0,-0.1725781,5.980684,2.111158,0,0,0,0,2281.577
3.979999,2.1,0,-0.0521188,6.022968,2.114186,0,0,0,0,2297.041
3.999999,2.1,0,0.06918737,6.065311,2.117185,0,0,0,0,2312.528
4.019999,2.1,0,0.1913416,6.107715,2.120153,0,0,0,0,2328.037
4.039999,2.1,0,0.3143451,6.150177,2.123092,0,0,0,0,2343.568
4.059999,2.1,0,0.438199,6.192697,2.126001,0,0,0,0,2359.121
4.079998,2.1,0,0.5629044,6.235274,2.128881,0,0,0,0,2374.696
4.099998,2.1,0,0.6884626,6.277909,2.131732,0,0,0,0,2390.292
4.119998,2.1,0,0.8148745,6.3206,2.134554,0,0,0,0,2405.909
4.139998,2.1,0,0.9421414,6.363347,2.137347,0,0,0,0,2421.547
4.159998,2.1,0,1.070264,6.406149,2.140112,0,0,0,0,2437.207
4.179998,2.1,0,1.199244,6.449007,2.142849,0,0,0,0,2452.886
4.199998,2.1,0,1.329083,6.491918,2.145557,0,0,0,0,2468.587
4.219998,2.1,0,1.45978,6.534883,2.148238,0,0,0,0,2484.307
4.239998,2.1,0,1.591338,6.5779,2.150891,0,0,0,0,2500.048
