Time,actual_gap1,actual_gap2,des_gap1,des_gap2,TargetVelocity
4.299998,21.34631,15.8402,19.50519,13.83019,33.33333
4.319998,21.4277,15.89718,19.59153,13.89357,33.33333
4.339998,21.50921,15.95439,19.67798,13.95716,33.33333
4.359998,21.59085,16.01183,19.76453,14.02095,33.33333
4.379999,21.6726,16.06949,19.85118,14.08495,33.33333
4.399999,21.75448,16.12738,19.93793,14.14915,33.33333
4.419999,21.83648,16.18549,20.02477,14.21354,33.33333
4.439999,21.91859,16.24383,20.11172,14.27814,33.33333
4.459999,22.00082,16.30238,20.19875,14.34294,33.33333
4.479999,22.08317,16.36116,20.28588,14.40794,33.33333
4.499999,22.16564,16.42016,20.37311,14.47313,33.33333
4.519999,22.24822,16.47938,20.46043,14.53852,33.33333
4.539999,22.33091,16.53882,20.54784,14.6041,33.33333
4.559999,22.41371,16.59847,20.63533,14.66988,33.33333
4.579998,22.49663,16.65834,20.72292,14.73585,33.33333
4.599998,22.57965,16.71843,20.8106,14.80202,33.33333
4.619998,22.66278,16.77873,20.89836,14.86837,33.33333
4.639998,22.74602,16.83924,20.98621,14.93492,33.33333
4.659998,22.82936,16.89997,21.07414,15.00165,33.33333
4.679998,22.91282,16.9609,21.16216,15.06857,33.33333
4.699998,22.99637,17.02205,21.25027,15.13568,33.33333
4.719998,23.08002,17.0834,21.33845,15.20297,33.33333
4.739998,23.16378,17.14497,21.42672,15.27045,33.33333
4.759998,23.24764,17.20674,21.51506,15.33812,33.33333
4.779998,23.3316,17.26871,21.60349,15.40596,33.33333
4.799998,23.41566,17.33089,21.69199,15.47399,33.33333
4.819998,23.49981,17.39327,21.78057,15.5422,33.33333
4.839998,23.58407,17.45586,21.86924,15.6106,33.33333
4.859998,23.66842,17.51865,21.95797,15.67917,33.33333
4.879998,23.75286,17.58164,22.04678,15.74791,33.33333
4.899998,23.83739,17.64483,22.13566,15.81684,33.33333
4.919998,23.92202,17.70821,22.22462,15.88594,33.33333
4.939998,24.00674,17.7718,22.31365,15.95522,33.33333
4.959998,24.09155,17.83558,22.40275,16.02467,33.33333
4.979998,24.17645,17.89956,22.49192,16.09429,33.33333
4.999998,24.26144,17.96373,22.58116,16.16409,33.33333
5.019998,24.34651,18.02809,22.67047,16.23406,33.33333
5.039998,24.43167,18.09265,22.75984,16.3042,33.33333
5.059998,24.51692,18.15739,22.84928,16.3745,33.33333
5.079998,24.60225,18.22233,22.93879,16.44498,33.33333
5.099998,24.68766,18.28746,23.02836,16.51562,33.33333
5.119998,24.77316,18.35278,23.118,16.58643,33.33333
5.139998,24.85874,18.41828,23.2077,16.65741,33.33333
5.159998,24.9444,18.48397,23.29746,16.72855,33.33333
5.179998,25.03014,18.54984,23.38728,16.79985,33.33333
5.199998,25.11596,18.6159,23.47717,16.87132,33.33333
5.219998,25.20186,18.68214,23.56711,16.94295,33.33333
5.239998,25.28783,18.74856,23.65711,17.01474,33.33333
5.259998,25.37388,18.81517,23.74718,17.08668,33.33333
5.279998,25.46,18.88195,23.83729,17.15879,33.33333
5.299998,25.5462,18.94892,23.92747,17.23106,33.33333
5.319998,25.63247,19.01606,24.0177,17.30348,33.33333
5.339998,25.71881,19.08338,24.10798,17.37605,33.33333
5.359998,25.80523,19.15088,24.19832,17.44879,33.33333
5.379998,25.89172,19.21855,24.28871,17.52168,33.33333
5.399998,25.97828,19.28639,24.37916,17.59472,33.33333
5.419998,26.0649,19.35441,24.46965,17.66791,33.33333
5.439998,26.15159,19.4226,24.5602,17.74125,33.33333
5.459998,26.23835,19.49096,24.65079,17.81474,33.33333
5.479998,26.32517,19.55949,24.74144,17.88838,33.33333
5.499998,26.41206,19.62819,24.83213,17.96217,33.33333
5.519998,26.49902,19.69706,24.92287,18.03611,33.33333
5.539998,26.58603,19.76609,25.01366,18.1102,33.33333
5.559998,26.67311,19.83529,25.10449,18.18443,33.33333
5.579998,26.76026,19.90466,25.19537,18.2588,33.33333
5.599998,26.84746,19.97419,25.28629,18.33332,33.33333
5.619998,26.93472,20.04388,25.37726,18.40798,33.33333
5.639998,27.02205,20.11373,25.46827,18.48278,33.33333
5.659998,27.10943,20.18375,25.55932,18.55772,33.33333
5.679998,27.19687,20.25393,25.65041,18.6328,33.33333
5.699998,27.28436,20.32426,25.74154,18.70803,33.33333
5.719998,27.37191,20.39475,25.83271,18.78339,33.33333
5.739998,27.45951,20.4654,25.92393,18.85888,33.33333
5.759998,27.54717,20.53621,26.01517,18.93451,33.33333
5.779998,27.63489,20.60717,26.10646,19.01028,33.33333
5.799998,27.72265,20.67829,26.19778,19.08619,33.33333
5.819998,27.81047,20.74956,26.28914,19.16222,33.33333
5.839998,27.89833,20.82098,26.38053,19.23839,33.33333
5.859998,27.98625,20.89255,26.47196,19.31469,33.33333
5.879998,28.07422,20.96427,26.56342,19.39112,33.33333
5.899998,28.16223,21.03614,26.65491,19.46768,33.33333
5.919998,28.25029,21.10817,26.74644,19.54437,33.33333
5.939998,28.3384,21.18033,26.838,19.62119,33.33333
5.959998,28.42656,21.25265,26.92958,19.69813,33.33333
5.979998,28.51476,21.32511,27.0212,19.7752,33.33333
5.999998,28.603,21.39771,27.11285,19.85239,33.33333
6.019998,28.69129,21.47046,27.20452,19.92971,33.33333
6.039998,28.77962,21.54335,27.29623,20.00715,33.33333
6.059998,28.86799,21.61638,27.38796,20.08472,33.33333
6.079998,28.95641,21.68956,27.47971,20.16241,33.33333
6.099998,29.04486,21.76287,27.57149,20.24021,33.33333
6.119998,29.13335,21.83632,27.6633,20.31814,33.33333
6.139998,29.22189,21.90991,27.75513,20.39619,33.33333
6.159998,29.31046,21.98364,27.84698,20.47435,33.33333
6.179998,29.39906,22.0575,27.93886,20.55263,33.33333
6.199998,29.48771,22.1315,28.03075,20.63103,33.33333
6.219998,29.57639,22.20563,28.12267,20.70954,33.33333
6.239998,29.6651,22.27989,28.21461,20.78817,33.33333
6.259998,29.75385,22.35429,28.30657,20.86691,33.33333
6.279998,29.84263,22.42882,28.39855,20.94576,33.33333
6.299998,29.93144,22.50348,28.49054,21.02473,33.33333
6.319998,30.02029,22.57827,28.58256,21.1038,33.33333
6.339998,30.10917,22.65318,28.67459,21.18299,33.33333
6.359998,30.19808,22.72823,28.76663,21.26228,33.33333
6.379998,30.28702,22.80339,28.85869,21.34169,33.33333
6.399998,30.37598,22.87869,28.95077,21.4212,33.33333
6.419998,30.46498,22.95411,29.04286,21.50082,33.33333
6.439998,30.554,23.02966,29.13496,21.58054,33.33333
6.459998,30.64305,23.10532,29.22708,21.66037,33.33333
6.479998,30.73213,23.18111,29.31921,21.7403,33.33333
6.499998,30.82123,23.25702,29.41135,21.82034,33.33333
6.519998,30.91035,23.33305,29.5035,21.90047,33.33333
6.539998,30.9995,23.4092,29.59566,21.98071,33.33333
6.559998,31.08867,23.48547,29.68783,22.06105,33.33333
6.579998,31.17787,23.56186,29.78,22.14149,33.33333
6.599998,31.26709,23.63836,29.87219,22.22202,33.33333
6.619998,31.35632,23.71497,29.96438,22.30266,33.33333
6.639997,31.44558,23.79171,30.05658,22.38339,33.33333
6.659997,31.53486,23.86855,30.14879,22.46422,33.33333
6.679997,31.62415,23.94551,30.241,22.54514,33.33333
6.699997,31.71346,24.02258,30.33321,22.62616,33.33333
6.719997,31.80279,24.09976,30.42543,22.70727,33.33333
6.739997,31.89214,24.17706,30.51765,22.78848,33.33333
6.759997,31.9815,24.25446,30.60987,22.86978,33.33333
6.779998,32.07088,24.33197,30.7021,22.95116,33.33333
6.799998,32.16027,24.40958,30.79432,23.03264,33.33333
