Time,Fx,Lambda
10.42,2777.063,0
10.44,2775.611,0
10.46,2774.137,0
10.48,2772.643,0
10.5,2771.128,0
10.52,2769.593,0
10.54,2768.036,0
10.56,2766.458,0
10.58,2764.859,0
10.6,2763.24,0
10.62,2761.6,0
10.64,2759.939,0
10.66,2758.259,0
10.68,2756.557,0
10.7,2754.835,0
10.72,2753.094,0
10.74,2751.332,0
10.76,2749.548,0
10.78,2747.745,0
10.8,2745.922,0
10.82,2744.077,0
10.84,2742.213,0
10.86,2740.328,0
10.88,2738.424,0
10.9,2736.5,0
10.92,2734.557,0
10.94,2732.594,0
10.96,2730.609,0
10.98,2728.605,0
11,2726.582,0
11.02,2724.54,0
11.04,2722.477,0
11.06,2720.395,0
11.08,2718.293,0
11.1,2716.17,0
11.12,2714.03,0
11.14,2711.869,0
11.16,2709.69,0
11.18,2707.49,0
11.2,2705.271,0
11.22,2703.033,0
11.24,2700.778,0
11.26,2698.5,0
11.28,2696.206,0
11.3,2693.892,0
11.32,2691.558,0
11.34,2689.208,0
11.36,2686.838,0
11.38,2684.447,0
11.4,2682.039,0
11.42,2679.613,0
11.44,2677.168,0
11.46,2674.704,0
11.48,2672.222,0
11.5,2669.722,0
11.52,2667.203,0
11.54,2664.666,0
11.56,2662.109,0
11.58,2659.536,0
11.6,2656.944,0
11.62,2654.333,0
11.64,2651.704,0
11.66,2649.057,0
11.68,2646.394,0
11.7,2643.711,0
11.72,2641.012,0
11.74,2638.293,0
11.76,2635.558,0
11.78,2632.805,0
11.8,2630.034,0
11.82,2627.247,0
11.84,2624.441,0
11.86,2621.618,0
11.88,2618.777,0
11.9,2615.921,0
11.92,2613.047,0
11.94,2610.155,0
11.96,2607.246,0
11.98,2604.32,0
12,2601.377,0
12.02,2598.419,0
12.04,2595.444,0
12.06,2592.449,0
12.08,2589.441,0
12.1,2586.415,0
12.12,2583.373,0
12.14,2580.313,0
12.16,2577.237,0
12.18,2574.146,0
12.2,2571.039,0
12.22,2567.915,0
12.24,2564.776,0
12.26,2561.62,0
12.28,2558.447,0
12.3,2555.26,0
12.32,2552.055,0
12.34,2548.835,0
12.36,2545.6,0
12.38,2542.349,0
12.4,2539.083,0
12.42,2535.8,0
12.44,2532.503,0
12.46,2529.191,0
12.48,2525.864,0
12.5,2522.522,0
12.52,2519.164,0
12.54,2515.79,0
12.56,2512.403,0
12.58,2509,0
12.6,2505.582,0
12.62,2502.15,0
12.64,2498.703,0
12.66,2495.242,0
12.68,2491.768,0
12.7,2488.277,0
12.72,2484.774,0
12.74,2481.256,0
12.76,2477.723,0
12.78,2474.177,0
12.8,2470.616,0
12.82,2467.041,0
12.84,2463.452,0
12.86,2459.85,0
12.88,2456.234,0
12.9,2452.604,0
12.92,2448.961,0
12.94,2445.304,0
12.96,2441.634,0
12.98,2437.951,0
13,2434.254,0
13.02,2430.545,0
13.04,2426.823,0
13.06,2423.086,0
13.08,2419.338,0
13.1,2415.577,0
13.12,2411.804,0
13.14,2408.019,0
13.16,2404.219,0
13.18,2400.409,0
13.2,2396.586,0
13.22,2392.75,0
13.24,2388.902,0
13.26,2385.042,0
13.27999,2381.169,0
13.3,2377.286,0
13.31999,2373.39,0
13.34,2369.483,0
13.35999,2365.563,0
13.38,2361.633,0
13.39999,2357.689,0
13.42,2353.736,0
13.43999,2349.773,0
13.46,2345.796,0
13.47999,2341.809,0
13.5,2337.81,0
13.51999,2333.802,0
13.54,2329.782,0
13.56,2325.751,0
13.58,2321.709,0
13.6,2317.656,0
13.62,2313.592,0
13.64,2309.518,0
13.66,2305.435,0
13.68,2301.341,0
13.7,2297.238,0
13.72,2293.125,0
13.74,2289.002,0
13.76,2284.868,0
13.77999,2280.724,0
13.8,2276.569,0
13.81999,2272.406,0
13.84,2268.234,0
13.85999,2264.053,0
13.88,2259.86,0
13.89999,2255.659,0
13.92,2251.45,0
13.93999,2247.23,0
13.96,2243.002,0
13.97999,2238.763,0
14,2234.516,0
14.01999,2230.262,0
14.04,2225.999,0
14.05999,2221.728,0
14.08,2217.446,0
14.09999,2213.157,0
14.12,2208.859,0
14.13999,2204.554,0
14.16,2200.241,0
14.17999,2195.92,0
14.2,2191.589,0
14.21999,2187.251,0
14.24,2182.905,0
14.25999,2178.552,0
14.27999,2174.191,0
14.29999,2169.823,0
14.31999,2165.448,0
14.34,2161.065,0
14.35999,2156.677,0
14.38,2152.281,0
14.39999,2147.876,0
14.42,2143.467,0
14.43999,2139.049,0
14.46,2134.625,0
14.47999,2130.193,0
14.5,2125.757,0
14.51999,2121.312,0
14.54,2116.86,0
14.55999,2112.404,0
14.58,2107.942,0
14.59999,2103.473,0
14.62,2098.998,0
14.63999,2094.515,0
14.66,2090.027,0
14.67999,2085.535,0
14.7,2081.038,0
14.71999,2076.535,0
14.74,2072.025,0
14.75999,2067.509,0
14.77999,2062.989,0
14.79999,2058.463,0
14.81999,2053.933,0
14.83999,2049.398,0
14.85999,2044.858,0
14.87999,2040.312,0
14.89999,2035.762,0
14.91999,2031.208,0
14.93999,2026.649,0
14.95999,2022.086,0
14.97999,2017.517,0
14.99999,2012.944,0
15.01999,2008.368,0
15.03999,2003.787,0
15.05999,1999.201,0
15.07999,1994.611,0
15.09999,1990.018,0
15.12,1985.421,0
15.13999,1980.82,0
15.16,1976.217,0
15.17999,1971.609,0
15.2,1966.998,0
15.21999,1962.383,0
15.24,1957.765,0
15.25999,1953.144,0
15.27999,1948.52,0
15.29999,1943.893,0
15.31999,1939.264,0
15.33999,1934.631,0
15.35999,1929.996,0
15.37999,1925.358,0
15.39999,1920.718,0
15.41999,1916.074,0
15.43999,1911.428,0
15.45999,1906.78,0
15.47999,1902.13,0
15.49999,1897.477,0
15.51999,1892.824,0
15.53999,1888.168,0
15.55999,1883.509,0
15.57999,1878.85,0
15.59999,1874.188,0
15.61999,1869.525,0
15.63999,1864.86,0
15.65999,1860.194,0
15.67999,1855.526,0
15.69999,1850.857,0
15.71999,1846.187,0
15.73999,1841.517,0
15.75999,1836.844,0
15.77999,1832.171,0
15.79999,1827.496,0
15.81999,1822.821,0
15.83999,1818.146,0
15.85999,1813.469,0
15.87999,1808.793,0
15.89999,1804.114,0
15.91999,1799.436,0
15.93999,1794.757,0
15.95999,1790.079,0
15.97999,1785.401,0
15.99999,1780.721,0
16.01999,1776.042,0
16.04,1771.364,0
16.05999,1766.685,0
16.07999,1762.008,0
16.09999,1757.329,0
16.12,1752.652,0
16.13999,1747.975,0
16.15999,1743.299,0
16.17999,1738.622,0
16.2,1733.948,0
16.21999,1729.274,0
16.23999,1724.599,0
16.25999,1719.926,0
16.27999,1715.254,0
16.29999,1710.583,0
16.31999,1705.913,0
16.33999,1701.245,0
16.35999,1696.577,0
16.37999,1691.911,0
16.39999,1687.246,0
16.41999,1682.583,0
16.43999,1677.922,0
